,Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
0,2009,39,37,39312,0.0463,0.7619,2,0.7,2,5,1,35,1,156200,PT01,5
1,2009,21,117,75322,0.0488,1.1378,1,0.8,2,5,1,36,1,148000,PT01,5
2,2009,21,211,40344,0.0488,0.6792,2,0.65,2,5,1,42,1,104000,PT01,5
3,2009,21,123,88440,0.0488,1.6782,2,0.8,2,5,1,33,1,187200,PT01,5
4,2009,21,211,91224,0.05,1.5358,2,0.8,2,5,1,41,1,136000,PT01,4
5,2009,39,25,125000,0.045,1.8882,2,0.62,2,5,1,46,1,204500,PT01,5
6,2009,21,93,281642,0.0475,5.3443,2,0.71,2,5,1,55,1,325000,PT01,5
7,2009,21,101,87485,0.0488,1.463,2,0.67,2,5,1,55,1,63100,PT01,5
8,2009,39,49,139254,0.045,2.1325,2,0.77,2,5,1,40,1,251000,PT01,5
9,2009,18,29,81300,0.0513,1.2281,2,0.57,2,5,1,41,1,100000,PT01,5
10,2009,39,165,65000,0.0475,0.9819,2,0.6,2,5,2,56,1,137800,PT01,5
11,2009,39,61,109804,0.0475,1.6587,2,0.8,2,5,1,46,1,200000,PT01,4
12,2009,39,61,112944,0.0475,1.7061,2,0.77,2,5,2,56,1,382000,PT06,4
13,2009,39,49,50997,0.0513,0.7809999999999999,1,0.95,2,3,1,40,1,142500,PT01,5
14,2009,21,101,170777,0.045,2.8558,2,0.69,2,5,1,31,1,226000,PT01,5
15,2009,21,211,43909,0.0488,0.7392,2,0.72,2,5,1,60,1,158000,PT01,5
16,2009,21,211,51756,0.0488,0.8713,2,0.59,2,5,1,51,1,95000,PT01,5
17,2009,21,111,90000,0.0475,1.5152,2,0.61,2,5,1,44,1,250000,PT01,5
18,2009,21,211,75984,0.0488,1.2792,2,0.46,2,5,1,59,1,119500,PT01,5
19,2009,39,61,127826,0.0488,1.9309,2,0.68,2,5,2,55,1,252000,PT01,5
20,2009,39,61,103147,0.045,1.5581,2,0.8,2,5,1,48,1,178000,PT01,4
21,2009,39,61,74613,0.05,1.1271,2,0.8,2,5,1,54,1,224000,PT02,5
22,2009,6,103,111404,0.0525,2.0707,2,0.77,2,5,2,99,1,168750,PT01,4
23,2009,42,49,68917,0.0525,1.2739,2,0.98,2,5,1,27,1,119047,PT01,4
24,2009,39,17,182650,0.045,2.7591,2,0.72,2,5,1,48,1,395200,PT01,3
25,2009,39,1,20717,0.055,0.4015,2,0.94,2,5,1,27,1,81400,PT12,3
26,2009,39,37,12,0.0538,0.0002,2,0.8,2,5,2,21,1,87098,PT01,1
27,2009,39,17,54996,0.055,0.8308,2,0.97,2,5,1,37,1,154660,PT01,1
28,2009,39,61,120024,0.05,1.8131,2,0.74,2,5,1,41,1,203000,PT01,4
29,2009,17,99,36000,0.0525,0.6936,2,0.94,2,5,2,46,1,140160,PT01,3
30,2009,8,31,12,0.0525,0.0002,2,0.99,2,5,2,51,1,196910,PT06,3
31,2009,39,157,37776,0.055,0.7321,2,0.93,2,5,1,28,1,74226,PT01,1
32,2009,39,169,49968,0.0475,0.9684,2,1.0,2,7,1,41,1,124236,PT01,4
33,2009,39,17,143281,0.05,2.1644,2,0.43,2,5,1,40,1,139000,PT01,5
34,2009,39,137,122751,0.0475,2.3789,2,0.33,2,5,1,52,1,57000,PT01,5
35,2009,21,117,48336,0.05,0.7302,2,0.38,2,5,1,72,1,63500,PT02,5
36,2009,21,117,106365,0.05,1.6067,2,0.71,2,5,1,41,1,127000,PT01,5
37,2009,39,25,51212,0.0488,0.7736,2,0.72,2,7,1,50,1,88400,PT01,5
38,2009,21,117,49296,0.0488,0.7447,2,0.59,2,5,1,42,1,85000,PT01,5
39,2009,39,61,88368,0.0475,1.3349,2,0.25,2,5,1,50,1,67000,PT01,5
40,2009,39,17,79248,0.05,1.1971,2,0.39,2,5,1,47,1,85500,PT01,5
41,2009,20,45,164037,0.05,2.5751,2,0.7723,2,5,1,33,1,234000,PT01,5
42,2009,31,55,107471,0.0538,1.6017,2,0.8973,2,5,1,30,1,131000,PT01,4
43,2009,20,51,40263,0.05,0.8037,2,0.72,2,5,1,99,1,95000,PT01,4
44,2009,31,19,35097,0.0588,0.6775,2,0.8,2,5,1,30,1,205600,PT01,4
45,2009,31,55,46548,0.0563,0.6937,2,0.77,2,5,1,99,1,107806,PT06,5
46,2009,20,41,151368,0.0563,3.0213,1,1.033,1,5,1,53,1,256184,PT01,4
47,2009,8,41,65520,0.0525,0.9635,2,0.5268,2,5,1,60,1,216000,PT01,5
48,2009,20,157,133698,0.0475,2.6686,2,0.76,2,5,1,36,1,195000,PT01,5
49,2009,20,169,26958,0.05,0.5381,2,0.7384,2,5,2,64,1,127000,PT01,5
50,2009,27,57,77760,0.06,1.3714,2,0.57,2,5,2,53,1,92000,PT01,3
51,2009,29,77,31215,0.045,0.6332,2,0.72,2,5,1,99,1,79000,PT01,4
52,2009,19,125,312978,0.045,5.8501,2,0.5322,2,5,1,47,1,414600,PT01,5
53,2009,27,49,68710,0.05,1.2118,2,0.75,2,5,1,36,1,136500,PT01,4
54,2009,29,19,86205,0.0488,1.4202,2,0.9,2,5,1,37,1,148500,PT01,5
55,2009,19,107,68195,0.0525,1.2747,2,0.44,2,5,2,56,1,113400,PT01,5
56,2009,29,19,360000,0.05,5.9308,2,0.7609999999999999,2,5,1,42,1,390000,PT01,2
57,2009,19,61,70956,0.0463,1.1986,2,0.63,2,5,1,53,1,110000,PT01,4
58,2009,19,61,90792,0.0463,1.5336,2,0.64,2,7,1,32,1,103000,PT01,4
59,2009,19,153,42216,0.0488,0.6217,2,0.8,2,5,1,24,1,200000,PT01,3
60,2009,46,5,87355,0.0475,1.6929,2,0.9,2,5,1,46,1,111600,PT01,5
61,2009,17,161,83825,0.045,1.4256,2,0.6609,2,5,1,41,1,76000,PT01,5
62,2009,19,163,96000,0.0475,1.6327,2,0.6807,2,5,1,42,1,137500,PT01,4
63,2009,17,161,49524,0.05,0.8422,2,0.8,2,5,2,61,1,92000,PT01,4
64,2009,29,55,66240,0.05,1.5123,2,0.78,2,5,1,99,1,152000,PT01,4
65,2009,27,131,56796,0.0488,1.0017,2,0.65,2,5,2,61,1,100000,PT01,4
66,2009,19,59,109481,0.0475,2.0464,2,0.7992,2,5,1,35,1,207000,PT01,5
67,2009,31,55,74026,0.05,1.1032,1,0.8,2,5,1,49,1,200000,PT01,5
68,2009,20,29,150000,0.0525,2.9939999999999998,1,0.8,2,5,1,35,1,140000,PT01,4
69,2009,31,155,52320,0.0488,0.7797,1,0.8,2,5,1,99,1,120000,PT01,4
70,2009,31,19,83422,0.0513,1.6105,2,0.2267,2,5,1,49,1,54400,PT01,5
71,2009,31,25,48071,0.0488,0.7164,2,0.545,2,5,1,65,1,60000,PT01,5
72,2009,31,111,292500,0.05,5.6467,2,0.8,2,5,1,55,1,408000,PT01,5
73,2009,31,153,104296,0.0475,1.5543,2,0.4375,2,5,1,99,1,175000,PT01,5
74,2009,31,153,96834,0.045,1.4431,2,0.74,2,5,2,99,1,95500,PT01,5
75,2009,31,25,87922,0.05,1.3103,2,0.6703,2,5,1,99,1,214500,PT01,5
76,2009,40,31,116600,0.0475,2.4241,1,0.7815,2,5,1,99,1,304000,PT01,5
77,2009,39,17,165790,0.045,2.5044,2,0.71,2,7,1,36,1,256000,PT01,5
78,2009,39,61,87471,0.045,1.3213,2,0.69,2,5,1,55,1,117000,PT01,5
79,2009,39,165,96400,0.045,1.4562,2,0.46,2,7,1,47,1,203000,PT01,5
80,2009,39,25,130696,0.045,1.9743,2,0.46,2,5,1,60,1,62500,PT01,5
81,2009,39,17,240500,0.045,3.6329,2,0.72,2,2,1,36,1,177600,PT02,5
82,2009,21,37,89448,0.045,1.3512,2,0.19,2,5,1,57,1,30100,PT01,5
83,2009,39,15,50048,0.045,0.7559999999999999,2,0.64,2,5,1,67,1,87500,PT01,5
84,2009,21,117,335673,0.045,5.0706,2,0.8,2,5,1,34,1,351000,PT01,3
85,2009,21,37,79416,0.05,1.1996,2,0.69,2,5,1,35,1,221200,PT01,5
86,2009,18,97,79176,0.0488,1.2162,2,0.8,2,5,1,42,1,156000,PT01,5
87,2009,39,113,113484,0.0488,1.8977,2,0.79,2,5,1,38,1,231000,PT01,5
88,2009,39,49,99096,0.045,1.5175,2,0.39,2,5,2,56,1,81250,PT01,5
89,2009,39,61,505836,0.045,7.641,2,0.58,2,5,1,59,1,417000,PT01,4
90,2009,39,49,35100,0.045,0.5375,2,0.43,2,5,1,70,1,45000,PT01,5
91,2009,39,165,90096,0.045,1.361,2,0.44,2,2,1,36,1,105000,PT01,5
92,2009,39,61,38172,0.0463,0.5766,2,0.33,2,5,2,47,1,37000,PT01,5
93,2009,18,47,92172,0.045,1.3923,2,0.65,2,5,1,46,1,120000,PT01,5
94,2009,39,17,50551,0.0513,0.7636,2,0.31,2,5,1,61,1,70000,PT01,5
95,2009,39,17,73728,0.0475,1.1137,2,0.69,2,5,1,50,1,137800,PT01,3
96,2009,39,61,107928,0.045,1.6303,2,0.17,2,5,1,54,1,27400,PT01,5
