Year,FIPSStateCode,FIPSCountyCode,Income,Rate,IncRat,Purpose,LTV,First,BoRace,BoGender,BoAge,Occup,Amount,PropType,BoCreditScore
2010,4,13,211788,0.0388,3.18,2,0.7854,2,5,2,45,1,322000,PT01,5
2010,9,1,35541,0.0475,0.3408,2,0.7292,2,5,1,53,1,140000,PT01,5
2010,9,1,79944,0.0388,0.7665,2,0.6582,2,5,2,55,1,181000,PT01,4
2010,9,1,135258,0.0475,1.2968,1,0.2857,2,5,2,99,1,300000,PT01,5
2010,9,1,101496,0.0438,0.9731,2,0.65,2,7,1,69,1,292000,PT01,3
2010,9,1,61980,0.045,0.5942,2,0.7673,2,5,2,44,1,211000,PT01,4
2010,9,1,65496,0.0425,0.628,2,0.5753,2,5,2,46,1,210000,PT01,4
2010,9,1,154524,0.0388,1.4815,2,0.61,2,5,1,38,1,357000,PT01,5
2010,9,1,161634,0.045,1.5497,2,0.7391,2,5,2,48,2,170000,PT01,3
2010,9,1,207324,0.045,1.9878,2,0.6146,2,5,1,35,1,295000,PT01,4
2010,9,3,144732,0.0513,1.7088,2,0.49,2,5,1,44,1,151500,PT01,5
2010,9,3,97651,0.0525,1.1529,2,0.731,2,5,1,63,1,153500,PT01,5
2010,9,3,173588,0.0475,2.0494,1,0.8,1,5,2,40,1,174400,PT11,4
2010,9,3,60475,0.0438,0.7140000000000001,2,0.36,2,5,2,44,1,140000,PT01,4
2010,9,3,265200,0.0388,3.1311,2,0.14,2,5,1,48,1,150000,PT01,4
2010,9,3,126596,0.0425,1.4946,2,0.7044,2,7,1,52,1,162000,PT01,5
2010,9,3,67627,0.0438,0.7984,2,0.6452,2,5,1,55,1,100000,PT01,4
2010,9,3,113122,0.0463,1.3356,2,0.57,2,5,1,49,1,205000,PT01,5
2010,9,3,61276,0.0388,0.7234,2,0.32,2,5,2,47,1,78000,PT01,5
2010,9,3,62065,0.0513,0.7328,2,0.6711,2,5,1,52,1,151000,PT01,5
2010,9,3,120480,0.04,1.4224,2,0.3,2,5,2,61,1,100000,PT01,5
2010,9,3,66244,0.0488,0.7821,1,0.6721,2,5,1,36,1,205000,PT01,5
2010,9,3,135873,0.0425,1.6042,2,0.784,2,5,1,40,1,392000,PT01,4
2010,9,3,77823,0.045,0.9188,2,0.4959,2,5,1,63,1,180000,PT01,5
2010,9,3,296820,0.0513,3.5044,2,0.8238,2,5,1,50,1,346000,PT01,5
2010,9,3,44891,0.0463,0.53,2,0.51,2,5,1,65,1,122000,PT01,5
2010,9,3,68172,0.0475,0.8049,1,0.9,1,5,2,24,1,173700,PT11,5
2010,9,3,64834,0.0513,0.7655,2,0.59,2,5,1,51,1,125000,PT01,5
2010,9,3,48540,0.05,0.5704,1,0.8,2,5,2,43,1,110000,PT01,5
2010,9,3,53536,0.045,0.6321,2,0.6829,2,5,1,37,1,140000,PT01,5
2010,9,3,83861,0.0488,0.9901,2,0.7294,2,5,2,52,1,124000,PT01,5
2010,9,3,69940,0.0463,0.8257,2,0.45,2,5,1,35,1,200000,PT01,5
2010,9,3,184440,0.045,2.1776,2,0.41,2,5,1,48,1,100000,PT01,5
2010,9,3,28525,0.045,0.3368,2,0.52,2,5,1,62,1,75000,PT01,5
2010,9,3,63792,0.0475,0.7496,2,0.67,2,5,1,43,1,158500,PT01,4
2010,9,3,93748,0.0488,1.1068,2,0.7375,2,5,1,44,1,177000,PT01,5
2010,9,3,66180,0.0463,0.7777,2,0.67,2,5,1,50,1,140000,PT01,3
2010,9,3,81484,0.05,0.9575,2,0.7895,2,5,1,37,1,225000,PT01,5
2010,9,3,155184,0.045,1.8235,1,0.41,2,5,1,47,1,150000,PT01,4
2010,9,3,112944,0.05,1.3335,2,0.8,2,5,2,46,1,180000,PT01,4
2010,9,3,38462,0.04,0.4541,2,0.36,2,5,1,77,1,64000,PT01,5
2010,9,3,50128,0.0413,0.5918,2,0.57,2,5,1,56,1,127850,PT01,5
2010,9,3,61682,0.0425,0.7282,2,0.68,2,5,1,49,1,225000,PT01,5
2010,9,3,129634,0.0425,1.5305,2,0.64,2,5,2,48,1,146000,PT11,5
2010,9,3,510000,0.0475,6.0213,1,0.36,2,7,1,50,1,417000,PT07,4
2010,9,3,41731,0.0375,0.4927,2,0.2228,2,5,1,64,1,94000,PT11,5
2010,9,3,145000,0.0375,1.7119,2,0.591,2,5,1,47,1,263000,PT01,4
2010,9,3,82647,0.0375,0.9758,2,0.4034,2,5,1,49,1,119000,PT01,5
2010,9,3,68869,0.045,0.8131,2,0.5423,2,5,2,56,1,119300,PT01,4
2010,9,3,133980,0.0425,1.5818,2,0.3409,2,5,1,63,1,75000,PT01,5
2010,9,3,35172,0.0525,0.4153,2,0.36,2,5,2,38,1,75000,PT01,4
2010,9,3,89336,0.0438,1.0547,1,0.7,1,5,1,30,1,157500,PT01,5
2010,9,3,51106,0.0513,0.6034,1,0.8,1,5,1,24,1,120000,PT01,4
2010,9,3,83816,0.0425,0.9896,2,0.14,2,5,1,45,1,50000,PT01,4
2010,9,3,67020,0.05,0.7913,2,0.8,2,5,1,35,1,188800,PT01,5
2010,9,3,79477,0.0413,0.9383,2,0.7268,2,5,1,45,1,149000,PT01,5
2010,9,3,97284,0.0525,1.1486,1,0.8,2,5,1,46,1,300000,PT01,3
2010,9,3,416232,0.0413,4.9142,2,0.8,2,7,3,72,1,316000,PT01,5
2010,9,3,179454,0.0463,2.1187,2,0.2706,2,5,1,59,1,184000,PT01,5
2010,9,3,41520,0.05,0.4902,1,0.8,2,5,2,62,1,144000,PT11,5
