Year,StateFIPS,CountyFIPS,Amount,Income,Rate,Income Ratio,LTV,Property Type,First,Race,Gender,Age,Credit Score
2015,24,17,264550,54408,0.0363,0.5147,1.03,PT01,1,5,1,28,3
2015,12,109,295000,191724,0.035,2.8488,1.0,PT07,1,7,2,57,5
2015,51,510,268650,82500,0.035,0.7805,1.03,PT11,1,5,1,32,5
2015,13,113,219900,64320,0.035,0.9281,1.0,PT07,2,3,1,75,4
2015,24,510,135300,81744,0.035,0.955,1.04,PT01,2,5,1,42,5
2015,37,51,398350,107628,0.0363,2.0423,1.01,PT07,2,3,2,48,5
2015,37,51,340000,104532,0.0363,1.9835,0.96,PT01,1,7,3,53,5
2015,12,71,195100,89976,0.035,1.5785,1.04,PT01,2,7,3,67,5
2015,37,93,305000,223968,0.0363,4.2499,0.92,PT01,2,7,2,37,5
2015,24,27,411550,185904,0.0363,2.1718,1.03,PT11,2,7,2,37,4
2015,13,39,200000,76452,0.035,1.6914,1.0,PT01,2,7,3,34,5
2015,12,105,50600,21936,0.0375,0.4025,0.51,PT07,1,5,1,61,5
2015,51,47,389000,135480,0.0388,2.5757,1.0,PT01,2,7,1,58,4
2015,24,33,300000,137256,0.0375,1.2985,0.96,PT01,2,7,1,50,5
2015,37,47,130000,39012,0.0388,0.7771,0.81,PT01,2,5,1,88,5
2015,51,153,280000,158688,0.04,1.5013,0.91,PT07,1,5,1,50,5
2015,13,67,202500,70680,0.0363,1.0199,0.88,PT01,2,5,1,73,5
2015,24,3,414700,101208,0.035,1.1823,1.03,PT07,2,3,1,55,5
2015,51,810,170000,72768,0.0375,1.0263,1.0,PT11,1,5,1,48,5
2015,37,85,277050,114384,0.0375,2.2786,0.98,PT07,2,5,1,43,5
2015,21,111,181704,123420,0.0388,1.9345,1.03,PT01,2,5,1,37,4
2015,37,35,228000,149268,0.04,2.8005,1.0,PT01,2,5,1,71,5
2015,51,153,379650,87972,0.0375,0.8323,0.89,PT07,2,7,1,67,5
2015,12,97,157300,177648,0.0375,3.0524,0.81,PT07,2,5,1,61,5
2015,12,127,210000,160848,0.0375,2.778,0.98,PT07,2,3,1,47,5
2015,12,57,377000,160488,0.0363,2.8455,1.03,PT07,2,5,1,51,5
2015,51,59,263400,210600,0.0375,1.9924,1.03,PT11,2,3,1,50,4
2015,12,103,260000,122028,0.0375,2.1636,1.0,PT01,2,5,1,56,4
2015,24,33,399900,186324,0.0375,1.7628,1.0,PT11,2,3,1,53,3
2015,51,59,370000,84480,0.0375,0.7992,1.0,PT01,1,5,1,48,5
2015,21,67,235200,134844,0.0388,2.0096,0.91,PT07,1,5,1,49,5
2015,51,3,360000,159900,0.0375,2.0553,1.0,PT01,2,5,1,60,5
2015,51,59,403900,99996,0.0375,0.946,1.03,PT01,2,3,1,52,4
2015,12,57,370000,102456,0.0375,1.8166,1.0,PT07,2,5,1,56,5
2015,51,510,283850,85980,0.04,0.8134,1.02,PT11,1,5,1,36,2
2015,13,77,369050,248820,0.0375,3.5905,0.96,PT07,2,5,1,52,5
2015,24,3,295000,92376,0.0375,1.0792,1.0,PT07,1,5,1,27,5
2015,47,93,203750,69996,0.04,1.1253,1.02,PT01,2,7,1,28,5
2015,12,91,229800,48000,0.0375,0.7018,1.02,PT07,1,7,3,32,2
2015,13,51,162400,99480,0.0288,1.6362,1.03,PT01,2,7,3,30,4
2015,51,59,412500,137748,0.0313,1.3032,0.77,PT07,1,3,1,46,5
2015,12,9,165900,81000,0.0288,1.3823,0.71,PT07,2,7,3,41,4
2015,12,109,400000,158220,0.0288,2.351,0.98,PT07,2,5,1,76,5
2015,1,1,200000,168864,0.0275,2.8097,1.0,PT01,1,5,1,52,3
2015,37,139,47500,36288,0.0288,0.7229,1.0,PT01,1,3,1,55,4
2015,13,73,145000,79500,0.0288,1.3731,1.0,PT07,1,3,1,26,5
2015,51,187,333000,129948,0.0313,1.2294,0.92,PT07,2,5,2,58,5
2015,51,187,380000,169992,0.0288,1.6082,1.0,PT07,1,7,1,43,5
2015,37,183,415000,211728,0.0288,2.6499,0.82,PT07,2,5,2,38,4
2015,51,59,325000,149856,0.0288,1.4177,0.92,PT07,2,3,2,55,5
2015,45,91,149450,302424,0.0288,4.4149,1.0,PT01,2,5,1,41,4
2015,37,63,256000,190044,0.0275,2.7663,1.0,PT07,2,3,1,59,5
2015,1,97,140000,80796,0.0275,1.5568,0.85,PT01,2,5,1,58,5
2015,12,109,325000,112788,0.0313,1.6759,0.84,PT01,2,5,1,55,5
2015,37,183,126050,65628,0.0288,0.8214,1.0,PT07,1,3,1,33,4
2015,12,9,330000,171588,0.0288,2.9281,1.0,PT01,2,5,1,75,5
2015,12,61,155000,48372,0.03,0.8991,1.0,PT07,2,5,1,74,5
2015,51,680,239900,49344,0.0375,0.821,1.0,PT07,2,5,2,44,5
2015,37,89,382500,116688,0.0375,1.9981,1.0,PT01,2,7,1,40,3
2015,24,25,293350,150648,0.0388,1.7599,1.04,PT07,2,5,1,40,2
2015,51,685,413200,117660,0.0375,1.1132,1.04,PT07,1,5,1,50,3
2015,37,31,330950,83568,0.04,1.6647,1.03,PT07,1,7,1,31,5
2015,37,99,254400,65184,0.0375,1.2985,0.95,PT01,2,5,1,66,5
2015,24,33,308450,91320,0.0375,0.8640000000000001,1.0,PT01,1,3,1,47,4
2015,24,3,290000,87696,0.0375,1.0245,1.0,PT07,2,3,1,36,4
2015,51,153,310000,112908,0.0388,1.0682,1.0,PT07,2,5,2,42,5
2015,24,5,347000,74892,0.04,0.8749,0.97,PT01,2,5,1,50,4
2015,28,33,140000,85632,0.0388,1.4489,1.0,PT01,1,3,2,27,4
2015,12,91,286000,77880,0.0375,1.1386,1.03,PT07,1,7,1,39,5
2015,54,3,235000,109476,0.0388,1.6612,1.0,PT07,2,7,3,50,4
2015,21,239,248800,84936,0.0388,1.2658,0.8,PT01,2,7,3,43,5
2015,37,135,310000,107040,0.0363,1.5581,1.0,PT07,1,2,1,46,4
2015,12,105,117600,104292,0.035,1.9136,0.8,PT07,1,5,1,72,5
2015,24,33,416800,222048,0.035,2.1007,1.04,PT01,2,3,2,39,5
2015,47,125,188850,52716,0.0375,0.9726,1.03,PT01,1,7,2,23,2
2015,51,31,185850,107160,0.0375,1.783,0.81,PT01,2,5,2,40,5
2015,12,11,417000,89508,0.0375,1.4298,0.86,PT07,1,7,1,57,4
2015,45,79,165500,62868,0.0375,0.9747,1.0,PT01,1,5,1,38,5
2015,51,700,273000,155532,0.0375,2.1937,1.0,PT11,2,3,1,60,5
2015,12,91,198000,135756,0.0288,1.9847,1.0,PT07,2,7,1,49,5
2015,1,73,114500,52992,0.03,0.8438,1.0,PT01,2,5,1,26,5
2015,1,89,260000,122112,0.03,1.7031,1.0,PT01,2,5,1,39,4
2015,47,35,250000,101376,0.0275,2.2038,0.72,PT07,2,5,1,60,5
2015,13,145,251000,93276,0.0338,1.7835,1.04,PT01,1,5,1,29,5
2015,12,57,326850,144312,0.035,2.5587,1.03,PT01,2,5,1,52,5
2015,37,93,126000,85656,0.035,1.6254,0.9,PT01,2,5,1,55,4
2015,24,3,339900,84528,0.035,0.9875,0.98,PT01,2,7,2,45,5
2015,51,107,378000,124740,0.035,1.1801,0.78,PT07,2,7,3,37,5
2015,51,193,209650,143616,0.0338,2.7303,1.04,PT01,2,4,2,44,5
2015,24,33,155000,139944,0.0363,1.324,1.0,PT11,2,3,1,55,4
2015,51,107,180000,337080,0.035,3.189,0.95,PT11,2,5,1,55,5
2015,51,510,225000,57276,0.035,0.5419,0.79,PT11,2,7,1,79,5
2015,51,79,210000,88932,0.0363,1.1431,1.0,PT07,1,5,1,36,4
2015,1,101,168500,62496,0.0363,1.0399,1.03,PT01,1,3,2,30,3
2015,12,86,371850,141684,0.0363,2.6936,1.04,PT07,2,7,1,51,4
2015,51,127,417000,245496,0.035,3.2473,0.86,PT01,2,5,1,56,5
2015,51,810,258200,96348,0.035,1.3589,1.0,PT11,1,5,2,35,5
2015,24,9,290000,114516,0.0363,1.0834,1.0,PT07,1,5,1,41,3
2015,37,183,347300,198312,0.035,2.482,1.03,PT07,2,7,1,53,5
2015,12,99,257800,65004,0.035,1.0141,0.88,PT07,2,7,1,35,5
2015,13,223,165000,50496,0.035,0.7287,1.0,PT07,2,3,1,67,5
2015,37,51,220000,172536,0.035,3.2739,1.0,PT01,2,5,1,48,5
2015,1,117,151850,58260,0.0363,0.9277,1.04,PT01,2,5,1,58,5
2015,37,71,229900,145548,0.035,2.1248,1.0,PT07,2,5,1,51,5
2015,12,81,364500,179880,0.035,3.003,0.66,PT07,1,5,2,64,3
2015,51,59,404500,86268,0.035,0.8162,1.03,PT07,2,5,1,53,3
2015,12,11,307000,185148,0.035,2.9576,0.96,PT07,2,3,1,46,5
2015,24,15,279900,82308,0.035,1.005,1.04,PT11,2,5,1,40,4
2015,51,109,250000,133224,0.035,1.7622,1.0,PT07,2,5,1,54,5
2015,51,510,300000,123132,0.035,1.1649,1.0,PT11,2,7,2,57,4
2015,12,57,265000,48420,0.0363,0.8585,1.0,PT01,1,5,1,54,5
2015,24,5,380000,143064,0.035,1.6713,1.0,PT01,1,3,1,31,4
2015,12,103,218000,73932,0.0363,1.3109,1.0,PT01,1,5,1,57,3
2015,12,71,335600,131892,0.0363,2.3139,1.04,PT07,1,3,1,50,5
2015,51,700,135000,66192,0.0338,0.9336,0.48,PT01,2,5,1,56,5
